benchmark,method,replicate,n,eps,n_sims,wall_s,mean_sim_s
gaussian_mean,sync,1,2137,0.0397575993881165,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,2531,0.0239594201191635,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,2997,0.0163503438536782,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,3550,0.0104568321659154,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,4205,0.0079121706942118,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,4980,0.0058435040985269,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,5898,0.0044260939433447,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,6985,0.0033263758477794,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,8273,0.0027791431372741,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,9799,0.0022497295418508,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,11606,0.0017499887926011,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,13745,0.0014157246432095,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,16280,0.0011131172266814,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,19281,0.0009217325583399,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,22836,0.000797661120424,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,27046,0.0006856425704555,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,32033,0.0005663158334834,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,37938,0.0005039588610772,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,44933,0.0004512962114111,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,53217,0.0003533163333822,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,63029,0.0002836237979578,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,74649,0.0002465351721552,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,88412,0.0002189112271837,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,104712,0.000167147713122,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,124017,0.0001419206762774,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,146882,0.0001161033386112,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,173962,9.476899658926452e-05,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,206034,8.516244108590365e-05,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,244020,7.202191100241784e-05,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,289009,6.42312839824466e-05,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,342292,5.292741191489231e-05,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,405399,5.003368889947013e-05,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,480140,4.391183458216097e-05,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,568662,3.739309595574003e-05,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,673503,3.113318478485672e-05,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,797674,2.830131499522576e-05,4331934,299.99959993362427,9.802788680269003e-05
